"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Prickle1",0,0.868308614274408,0.555,0.019,0,"0"
"Sema3f",0,0.861753032630182,0.567,0.033,0,"0"
"Fth1",0,-1.85722434106678,0.995,0.998,0,"0"
"Mgll",4.94065645841247e-324,1.24633542467924,0.826,0.237,7.9272832875228e-320,"0"
"Ppp1r2",9.88131291682493e-324,1.14464842546323,0.777,0.199,1.58545665750456e-319,"0"
"Lrrc58",1.97626258336499e-323,1.22333607676445,0.82,0.283,3.17091331500912e-319,"0"
"Itpkb",1.4673749681485e-321,1.19373282054185,0.764,0.168,2.35440313639427e-317,"0"
"Cpd",9.6293394374459e-321,1.04552756330258,0.703,0.11,1.54502751273819e-316,"0"
"Gata4",2.0860933764355e-319,0.991375045317623,0.628,0.066,3.34713682249075e-315,"0"
"App",3.61923737522709e-317,1.17766245550684,0.965,0.504,5.80706636855187e-313,"0"
"Stox2",1.79510303399807e-315,0.895381284185628,0.527,0.025,2.88024281804991e-311,"0"
"Kank3",2.21269678564307e-314,0.823254118563543,0.545,0.031,3.5502719925643e-310,"0"
"Afap1l1",9.99512764281528e-314,0.760599020532926,0.514,0.021,1.60371823028971e-309,"0"
"Slc39a8",1.84930970685236e-313,0.934041008051769,0.584,0.047,2.96721742464461e-309,"0"
"Cmtm8",3.45988184196122e-313,1.12359569826663,0.752,0.155,5.55138041542678e-309,"0"
"Ephb4",2.92650085743934e-311,0.868908637643121,0.608,0.059,4.69557062576143e-307,"0"
"Ndrg1",3.61494328385608e-311,1.00817425184203,0.661,0.087,5.80017649894708e-307,"0"
"Akr1b8",1.76189772257479e-309,0.869844188261199,0.532,0.03,2.82696489587126e-305,"0"
"Sh3tc1",2.88212708440605e-309,0.840072114279817,0.581,0.05,4.6243729069295e-305,"0"
"Lpar6",4.36624889730166e-309,1.03292672969725,0.671,0.103,7.00564635572051e-305,"0"
"Plxna2",1.83454475750999e-308,0.884173619877729,0.579,0.047,2.94352706342478e-304,"0"
"Cltc",5.09327495590955e-308,1.0778778126279,0.911,0.504,8.17215966675687e-304,"0"
"Cyp26b1",5.60812248759301e-307,1.36979982711153,0.512,0.022,8.99823253134298e-303,"0"
"Ece1",5.91184505535277e-307,1.1489464366259,0.808,0.228,9.48555539131351e-303,"0"
"Qk",8.3659989132447e-307,1.10691843418574,0.867,0.397,1.34232452563011e-302,"0"
"Tspan18",1.76772735649535e-306,0.736015766068077,0.507,0.021,2.83631854349679e-302,"0"
"Syne1",2.44640874255372e-306,1.04159051321785,0.682,0.109,3.92526282742745e-302,"0"
"Bace2",1.07253546403907e-305,0.928446493270983,0.644,0.081,1.72088315205069e-301,"0"
"Prex2",1.18921277829008e-305,1.05727756659363,0.711,0.123,1.90809190276643e-301,"0"
"Tmem204",1.20032941586515e-305,1.0038291313213,0.687,0.111,1.92592854775564e-301,"0"
"Myo10",1.54511049039442e-305,1.22743930093134,0.773,0.178,2.47912978183785e-301,"0"
"Itga1",1.91592332091866e-305,1.21558577206612,0.917,0.382,3.07409896841399e-301,"0"
"Itga9",4.13130849415431e-305,1.23571797132684,0.764,0.175,6.62868447887058e-301,"0"
"Macf1",1.50405437295489e-304,1.09518683241054,0.977,0.652,2.41325524140612e-300,"0"
