,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-JY-A939-01A,3.086816966,2.980985395,3.179550755,3.760604191,4.83476414,4.862345217,4.111624602,4.27694383,5.15861741,4.60346951,3.226189114,5.902693872,5.575706949,5.210359942,0.063037985,4.121925806,2.166555339,7.618378142,6.335648903,5.938777818,3.53442367,5.756595458,4.807534465,6.33717377,3.393228284,Tumor
TCGA-L5-A4OX-01A,4.662280734,2.966203608,3.529957843,5.051579057,5.20105759,5.483175316,5.448544255,5.044735845,5.973069108,4.80674591,4.600767976,6.511732236,5.962410576,6.667390779,0.045987142,5.373992048,3.069071111,8.41781256,7.288665302,7.078282619,6.043696067,7.521088548,5.707470819,5.621527541,3.697901901,Tumor
TCGA-L5-A4OU-01A,3.561431259,3.322616252,3.789147047,4.41776321,4.835622314,5.720623337,4.004041997,4.034467093,5.56410988,5.107957701,3.854959172,6.018846935,5.734045212,5.490313206,0.234381888,7.044750411,1.410951657,8.020456262,6.849078594,6.226089324,4.738794089,5.459433282,5.040862769,5.056737463,3.306587548,Tumor
TCGA-R6-A8WG-01A,4.248210988,3.575564085,3.866523483,4.862082078,5.381989362,5.01988396,5.022422605,5.280251759,5.548772656,5.469987715,3.652087742,7.450049103,6.635977293,6.074567498,6.917079145,7.383309057,4.408424867,8.679185487,7.188178132,7.413757158,5.478036013,6.595574427,5.483191107,5.774612122,3.476920127,Tumor
TCGA-L5-A8NV-01A,3.376343638,2.863440191,3.496252082,3.744521118,4.881567445,4.52066513,3.99514052,4.248626223,5.694226018,5.28102123,3.724545711,6.117694996,5.656032189,5.370699544,0.03584072,5.431544283,3.095716321,8.004601487,6.199617233,6.184944984,4.040015463,6.012560113,4.640083132,6.15300764,3.550327044,Tumor
TCGA-L5-A8NF-01A,3.37736824,3.060033325,4.021279471,4.829171439,4.831057246,5.294332269,4.312007191,3.545260809,6.143092389,5.417607642,4.107999272,6.960869676,6.248986535,5.821879956,3.264330374,7.109945112,4.147307734,8.288998671,6.661297131,6.793640911,4.595788836,5.943678331,5.118558573,6.824771938,4.339610351,Tumor
TCGA-Z6-A9VB-01A,4.002920031,3.267826133,3.905433326,3.857601596,5.095338629,5.364113294,4.87435769,4.309555341,5.53689929,5.486929825,2.858845109,6.194016301,6.413615912,5.70469504,0.148841583,6.048283802,3.69934349,8.353065228,7.234659871,6.610861541,4.303626722,6.217258822,5.690060965,6.714596312,4.150922266,Tumor
TCGA-L5-A4OP-01A,3.614493994,3.538958214,3.396462914,4.937768823,4.670724893,5.548048375,4.448296876,4.830629846,6.595171659,5.10998224,3.274094605,6.954478555,6.19584744,6.267349076,0.102344606,3.015228287,0.234008393,7.724897062,5.866681908,6.123313602,4.467951645,5.751444162,4.620550306,5.974028195,3.676382922,Tumor
TCGA-L5-A8NH-01A,4.170684102,3.227256432,3.830911108,4.497283443,5.879334016,5.371617777,4.289912444,4.168775668,5.632282463,4.969813932,3.682905665,7.192001659,5.955763364,6.441443162,0.900790694,5.191136253,3.708556955,8.812269495,6.937407422,6.70581881,4.368684962,6.662195769,5.319963482,6.30677881,3.806691843,Tumor
TCGA-LN-A7HW-01A,4.211572819,3.098864686,4.294154128,3.91213579,5.553328912,5.067023479,4.705426561,4.721539323,6.235266364,4.78472799,3.573660342,6.494854414,5.841472762,5.40094843,0.015760216,5.200206347,1.900421506,8.280427003,7.187269142,6.430389717,4.737649955,6.379236106,5.924852197,7.275695299,4.925417334,Tumor
TCGA-L7-A56G-01A,3.285293081,3.453678487,4.004979373,3.964572431,5.553933567,5.656236321,4.899566834,4.483586725,5.464319173,5.193474876,3.948241843,5.769048225,6.616736048,5.933664389,0.355530209,4.353359066,1.876770811,7.995614433,6.944667487,6.456928915,4.457960612,6.126820096,5.238626588,6.373456512,3.508599025,Tumor
TCGA-LN-A7HV-01A,3.252023597,2.579294996,3.274379921,3.352293501,5.266711037,6.029900174,4.091625596,4.044104495,4.821272481,4.849002455,3.227396012,5.92402995,6.260770126,5.178306972,0.704968382,3.508416827,3.555338007,8.107138446,7.142978568,6.356391998,4.168539129,6.010625681,5.808758106,6.145542859,3.132196419,Tumor
TCGA-IG-A5S3-01A,4.148042578,4.544943949,4.83377687,4.873511261,5.571557458,6.203629921,4.93305327,5.044194509,6.450555569,6.082267459,4.377936853,7.037328002,7.224234204,5.952234507,0.617273124,4.346956734,0.489307667,8.912605684,7.153576455,7.459964536,4.837617313,6.444004983,5.205249296,6.564879352,4.422540178,Tumor
TCGA-L5-A4OT-01A,3.737326299,3.287165161,3.561189205,4.719739841,5.244596069,5.56164866,4.753839046,5.162393845,5.855845269,5.13389486,3.902507855,6.220540531,5.716741797,6.443063938,0.045192401,5.650362867,3.462998207,8.290402221,6.919035149,6.595738709,4.588075035,6.812912403,4.885141158,5.70189451,3.322238009,Tumor
TCGA-L5-A4OH-01A,4.084573146,3.557753265,3.984315495,4.604278461,5.492237715,5.365228052,4.302326624,5.532365373,5.686710756,5.09516208,3.995549657,6.165360783,6.51408864,5.568300463,0.055337698,5.998633449,4.769414334,8.705759924,7.126654193,6.788549012,4.634105576,6.408127147,5.319637706,6.302814047,3.58588902,Tumor
TCGA-L5-A8NR-01A,3.764459576,3.232083648,3.225573565,4.508791969,4.888167965,5.122625439,4.70458107,3.827482134,6.007928774,4.96412261,3.231808508,6.790526648,6.193218482,5.907002993,1.263806224,6.533667729,3.849969521,8.187324279,6.74363241,6.410099499,5.237832516,5.807054007,4.803236819,5.782959163,3.118594976,Tumor
TCGA-JY-A6FE-01A,4.055345881,2.964317373,4.494479479,3.643831356,6.044923486,5.089960211,3.910011163,4.40103189,6.524262128,4.340724494,3.039658434,6.687601306,5.494988973,4.730838849,1.855187325,6.662267306,2.741558201,7.973337358,7.179814674,6.666105188,4.142267917,5.801303219,5.868518115,6.896572101,4.921231755,Tumor
TCGA-IG-A4P3-01A,3.619889871,3.325475053,3.269166704,4.044463182,5.063792717,5.60085795,4.179118812,4.460687317,5.908194419,5.31582462,3.637735729,5.892738005,5.955920453,5.457829773,0.474058139,4.132920896,3.397290422,8.168025689,7.146870362,6.480575847,4.663323457,5.978705229,5.337396259,5.708625204,4.346480992,Tumor
TCGA-IG-A3QL-01A,3.21261437,3.162704983,4.621486954,3.491699436,5.576224511,5.30618309,4.836260369,5.312549476,5.244905671,4.862445361,3.085286352,6.014955378,6.215424888,6.084662391,3.438947466,6.444750993,3.53363162,8.456262751,7.488228331,7.031913574,4.580860591,6.045229685,5.952345872,6.871210688,3.391865959,Tumor
TCGA-Z6-A8JE-01A,5.239213529,3.417689497,4.533864003,4.305347057,4.689725499,5.509729601,4.62139503,4.477652885,6.067767398,5.701807558,3.009039985,6.31435419,6.235486769,5.53845106,1.293710501,6.03750614,4.60858917,9.004827842,7.390001803,7.138006786,5.050161281,5.830789185,5.05236447,6.265766409,4.583287713,Tumor
TCGA-RE-A7BO-01A,3.417565508,2.255264581,3.035476868,3.911063098,4.622761394,5.038083877,4.545062104,4.400617647,4.896652379,4.281477177,3.721796627,6.453827221,5.767321315,5.572197241,0.069866455,5.470439678,3.65333424,8.178227045,6.799068932,6.406971528,3.988682178,6.579454172,5.183116065,5.385641263,2.427667089,Tumor
