"gene_short_name","p_value","morans_test_statistic","morans_I","status","q_value"
"Med6",6.33750186585878e-10,6.07146316476586,0.0927565472953461,"OK",2.2790997701014e-09
"Ttc9",0.000111482529427007,3.69146616723035,0.0495045732006494,"OK",0.000266845021236108
"Pcnx",9.43864130210987e-20,9.01960260547562,0.138996400519017,"OK",5.51372487021563e-19
"Rbm25",5.82762132384705e-44,13.8562848880403,0.214866125197789,"OK",6.80603216576525e-43
"Numb",1.63617581493929e-15,7.8800557039694,0.121056127673631,"OK",8.0353265258596e-15
"Acot1",2.86895530117109e-21,9.39470367572705,0.143431814208619,"OK",1.77448931778433e-20
"Elmsan1",2.77427066803377e-05,4.03123126676657,0.0607145863860979,"OK",7.01475487411886e-05
"Coq6",0.000385114405955082,3.36327755682764,0.0499686457366314,"OK",0.000862904587206205
"Rnf113a2",4.09052351231026e-08,5.36308944242523,0.081505131226127,"OK",1.29935258191484e-07
"Npc2",8.3455481008727e-46,14.1578986226792,0.219536231629248,"OK",1.01502728776864e-44
"Ltbp2",0,38.9164765324248,0.607226911728334,"OK",0
"Arel1",4.60440483039069e-10,6.1225524356649,0.0935127332718048,"OK",1.67050511301613e-09
"Ylpm1",4.96285215773805e-18,8.57480241981839,0.13213818044841,"OK",2.7033478793445e-17
"Dlst",5.55456958555557e-06,4.39437600176715,0.0666087745378925,"OK",1.50153740767371e-05
"Pgf",5.61186643649014e-07,4.86887155387458,0.066663814061108,"OK",1.64530200910129e-06
"Eif2b2",4.48139767386544e-05,3.91708015714978,0.058925365874755,"OK",0.000111110684801302
"Nek9",5.54186291197275e-08,5.30799569690848,0.0808955298666352,"OK",1.74470620452157e-07
"Tmed10",3.1239157747628e-44,13.9009819168597,0.215384065320713,"OK",3.66213258896892e-43
"Fos",2.2172041685922e-147,25.8268045491762,0.402658065602185,"OK",1.09232387647606e-145
"Jdp2",5.7213162176679e-05,3.85776983334353,0.058036530229036,"OK",0.000140621172839681
"Erg28",3.88480622268319e-08,5.37239859568107,0.0818936217240828,"OK",1.23678248005587e-07
"Tgfb3",4.21847879119905e-85,19.5134623264601,0.302798976161655,"OK",1.04078094804099e-83
"Ift43",5.98611497723758e-10,6.08061519909885,0.0930353955634079,"OK",2.15472457724011e-09
"Gpatch2l",2.76038609385996e-08,5.4336664967702,0.0824067373444885,"OK",8.90646439569157e-08
"Irf2bpl",9.71128139866102e-27,10.639953797671,0.164490153324268,"OK",7.19587000544287e-26
"Gm6566",3.74305126998132e-05,3.96028289737022,0.0402681432127869,"OK",9.35042075915744e-05
"Vipas39",8.23197420273906e-05,3.76788048998383,0.0566487763375992,"OK",0.000199556795995393
"Ahsa1",3.11401391830513e-28,10.9558652943615,0.169460984644479,"OK",2.42273706547597e-27
"Sptlc2",9.55513339175976e-09,5.61986867174995,0.0857466512230564,"OK",3.17851103937855e-08
"Slirp",4.16871015369386e-16,8.04914532294454,0.12390420741991,"OK",2.10436056007478e-15
"Snw1",4.76830645375714e-12,6.81332835483448,0.104575226283672,"OK",1.96020583237632e-11
"Nrxn3",3.5599214714891e-36,12.5037642040353,0.193311856546007,"OK",3.4616400667172e-35
"Gtf2a1",8.90073023953888e-06,4.29081995080262,0.064791056442525,"OK",2.35898141588596e-05
"Sel1l",3.39790668746722e-15,7.78822305514744,0.119823858101198,"OK",1.64844535090338e-14
"Flrt2",4.44520865819133e-76,18.4211442136158,0.282770928670521,"OK",9.58490420924136e-75
"Galc",8.19523378240618e-08,5.23621312828876,0.078922038254938,"OK",2.55064773139743e-07
"Gm47439",1.55348557849697e-06,4.66361851428329,0.0424645523450069,"OK",4.39721154291651e-06
"Spata7",0.000101069496575782,3.71632817953164,0.055776251208373,"OK",0.000242966325307562
"Ptpn21",0.000390452737698059,3.35947559769564,0.0502003005602232,"OK",0.000873985365993297
"Zc3h14",7.1410384654103e-09,5.66997210744299,0.0865989804419482,"OK",2.39336247210996e-08
"Foxn3",9.76135369261712e-29,11.0603990197452,0.171139011442935,"OK",7.71786461587929e-28
"Calm1",5.38256253595172e-55,15.5750010712054,0.24137819460031,"OK",7.92769475493817e-54
"Gpr68",0.000171937896940948,3.57978593233257,0.0297607439681987,"OK",0.000402213250124219
"Ccdc88c",4.65329581144815e-21,9.34365366528924,0.134379208736014,"OK",2.85206729104822e-20
"Fbln5",1.67654139094732e-100,21.2492030829085,0.330786588389501,"OK",5.11772477926822e-99
"Trip11",1.05958808877473e-16,8.21513957930547,0.126539471515361,"OK",5.49306272595569e-16
"Rin3",6.40088849787581e-16,7.99648845400518,0.122508935793777,"OK",3.19900584702827e-15
"Lgmn",1.72775903700299e-76,18.4722237787705,0.287243534110252,"OK",3.74099481057895e-75
"Golga5",7.29171368371165e-05,3.7980578802738,0.0571406291710331,"OK",0.000177398653895957
"Btbd7",8.05553145987723e-19,8.78163819609728,0.135431727837897,"OK",4.52901819311552e-18
"Ddx24",9.65535146345784e-46,14.147648554428,0.219479344610271,"OK",1.17250009035188e-44
"Ifi27",3.823995311282e-18,8.60475505519372,0.132663720479163,"OK",2.09177649353613e-17
"Ifi27l2a",6.49882407076565e-100,21.1854864191939,0.32933103838363,"OK",1.9569379716379e-98
"Serpina1b",2.62736090960838e-37,12.7092331228191,0.196833591339706,"OK",2.6422968114201e-36
"Serpina1a",1.30439047403708e-10,6.3204053408682,0.0967890539321362,"OK",4.89673279474542e-10
"Serpina1c",2.30474290504346e-86,19.6614942418455,0.305661398652759,"OK",5.81527350821986e-85
"Serpina3f",4.81475521470902e-11,6.47265586327437,0.0974257263374935,"OK",1.85534923719282e-10
"Serpina3g",1.48731148684321e-06,4.67256433482359,0.0707849767185225,"OK",4.21603518338948e-06
"Serpina3k",9.11850746115332e-35,12.2433400742029,0.189602715915966,"OK",8.57227802869776e-34
"Serpina3m",1.12758933989243e-05,4.23800189334651,0.0631737879259398,"OK",2.96075406366088e-05
"Serpina3n",7.23270702093897e-13,7.07952046226159,0.108107560186856,"OK",3.11132309759541e-12
"Dicer1",1.72357642856765e-06,4.64220218965785,0.070507234887696,"OK",4.86098511593138e-06
"Glrx5",1.12378794599097e-15,7.92685935728256,0.121985706025752,"OK",5.55577349736026e-15
"D430019H16Rik",2.74875986728471e-24,10.1004751054114,0.155628691461318,"OK",1.88017107266645e-23
"Gskip",4.67881056406825e-08,5.33877592227228,0.0811574374866213,"OK",1.48048217197997e-07
"Papola",7.70184728142137e-13,7.07080547360231,0.108614611671823,"OK",3.30582736358334e-12
"Setd3",2.15411891448164e-07,5.05480807998321,0.0769850320177291,"OK",6.51044908962339e-07
"Eml1",1.91915900356409e-09,5.8910145297893,0.0898951175003063,"OK",6.69148205318829e-09
"Evl",1.11278885208844e-26,10.6272588959263,0.16375031811865,"OK",8.23379127819054e-26
"Yy1",4.72743784738618e-08,5.3369007555276,0.0814388080279571,"OK",1.49526112166006e-07
"Wars",3.17079882683121e-21,9.38416656804361,0.144324963673731,"OK",1.95807204030576e-20
"Meg3",6.13539667767479e-121,23.3549630044051,0.362765760752108,"OK",2.39388108967522e-119
"Gm34667",3.38689566973267e-07,4.96773938421825,0.0474913777106416,"OK",1.01009945950954e-06
"Ppp2r5c",5.92440136981701e-07,4.85814934105364,0.0739213284499052,"OK",1.7336669271675e-06
"Dync1h1",7.3798613056938e-23,9.77261174284633,0.150949555161643,"OK",4.77910485886194e-22
"Hsp90aa1",4.20872595552493e-15,7.76113219767188,0.119340659497621,"OK",2.02852772989511e-14
"Rcor1",3.71289586482876e-12,6.84921193331249,0.104979615266488,"OK",1.53770584792908e-11
"Amn",1.22717411029152e-05,4.21895722979973,0.0434377771081922,"OK",3.20440230610841e-05
"Cdc42bpb",1.2110826860957e-05,4.22193260751452,0.0639239330927054,"OK",3.16610163847823e-05
"Exoc3l4",1.53412755011637e-08,5.53749667936258,0.084059591478758,"OK",5.03654527629939e-08
"Tnfaip2",2.45931388234959e-21,9.41090937014577,0.144513519526199,"OK",1.52657888837394e-20
"Eif5",1.5864015981805e-08,5.53162351841342,0.0844714357704183,"OK",5.20157962941744e-08
"Mark3",6.3021388686027e-16,7.9984034701102,0.123128278284838,"OK",3.1526895214141e-15
"Ckb",6.36909782592524e-91,20.1869943044284,0.314204043073733,"OK",1.71844220024271e-89
"Bag5",1.67418216515241e-19,8.95660241207417,0.138041564322109,"OK",9.66036617757331e-19
"Apopt1",2.59848635753819e-21,9.40512230960756,0.145074986894096,"OK",1.61168269379102e-20
"Klc1",6.67280619496971e-06,4.35436018553723,0.0659606300821569,"OK",1.78922230181344e-05
"Zfyve21",8.3452427872158e-18,8.51478139638018,0.131167929462038,"OK",4.501688832688e-17
