"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SGPP1",7e-08,1.107471933,0.688,0.05,0.000775917,"E3"
"LILRB5",7.61e-08,1.758726113,0.674,0.05,0.000843712,"E3"
"UGCG",9.79e-08,1.352301744,0.738,0.1,0.001085334,"E3"
"SEMA4A",1.01e-07,1.230409439,0.745,0.1,0.00111596,"E3"
"AKR1B1",1.05e-07,1.327427075,0.816,0.25,0.001166572,"E3"
"CYB5A",1.24e-07,1.030373649,0.553,0,0.001372897,"E3"
"PLA2G15",1.24e-07,0.904842767,0.553,0,0.001372897,"E3"
"CORO1B",1.42e-07,0.973790121,0.787,0.15,0.001579006,"E3"
"RARRES1",1.64e-07,1.150467495,0.546,0,0.001815143,"E3"
"TNS3",2.14e-07,1.42242783,0.844,0.3,0.002373547,"E3"
"GAA",2.33e-07,1.160446102,0.858,0.3,0.002579398,"E3"
"TCN2",2.9e-07,1.324287368,0.794,0.2,0.00321895,"E3"
"CD68",3.38e-07,0.852355357,1,0.9,0.0037514,"E3"
"GNS",3.49e-07,1.248007716,0.95,0.6,0.003871384,"E3"
"CLTA",3.58e-07,1.160861422,0.915,0.5,0.003966264,"E3"
"FAM213A",3.7e-07,0.849133334,0.525,0,0.004105476,"E3"
"PDCD1LG2",3.7e-07,0.849133334,0.525,0,0.004105476,"E3"
"ME1",3.7e-07,0.921144579,0.525,0,0.004105476,"E3"
"ITGB5",3.7e-07,0.831992202,0.525,0,0.004105476,"E3"
"IDH1",3.79e-07,1.300933353,0.794,0.2,0.004205223,"E3"
"GAL3ST4",4e-07,1.301811973,0.645,0.05,0.004433897,"E3"
"AP2A2",4.15e-07,1.123483053,0.766,0.15,0.004603439,"E3"
"LAIR1",4.85e-07,1.178076605,0.915,0.6,0.005375853,"E3"
"SELENOP",5.05e-07,3.381581666,0.631,0.05,0.005599812,"E3"
"CCPG1",5.14e-07,1.190196247,0.738,0.15,0.005696921,"E3"
"RAP2B",5.22e-07,1.224196918,0.894,0.4,0.005783911,"E3"
"PLEKHO1",5.4e-07,1.171338471,0.929,0.45,0.005989603,"E3"
"FYB1",6.78e-07,1.08700251,0.986,0.8,0.007517498,"E3"
"MAF",8.25e-07,1.545474026,0.865,0.35,0.009142407,"E3"
"PLXNC1",9.42e-07,1.225753805,0.908,0.65,0.010445379,"E3"
"SLAMF8",1.01e-06,1.255133085,0.83,0.35,0.011230941,"E3"
"GIMAP6",1.05e-06,0.779311885,0.496,0,0.011631939,"E3"
"CD46",1.07e-06,1.102034634,0.865,0.35,0.011854131,"E3"
"OSBPL1A",1.15e-06,1.025137001,0.723,0.15,0.0127168,"E3"
"MERTK",1.27e-06,1.411195433,0.723,0.15,0.014032978,"E3"
"GPR34",1.28e-06,1.393685665,0.617,0.05,0.014150224,"E3"
"IL18",1.3e-06,1.220029284,0.794,0.25,0.014399243,"E3"
"ATP6V0A1",1.35e-06,1.14665482,0.688,0.1,0.014949378,"E3"
"PHACTR2",1.39e-06,1.114932221,0.745,0.15,0.015460285,"E3"
"SLC7A7",1.4e-06,1.066649035,0.865,0.35,0.015490868,"E3"
"ENPP4",1.73e-06,0.860448648,0.482,0,0.01922048,"E3"
"ZDHHC21",1.73e-06,0.843442222,0.482,0,0.01922048,"E3"
"CCL13",2.22e-06,1.743091697,0.475,0,0.024599812,"E3"
"CREBL2",2.24e-06,1.078540932,0.773,0.2,0.02486897,"E3"
"TPP1",2.31e-06,0.900922398,0.986,0.9,0.025656824,"E3"
"IQGAP2",2.46e-06,1.199803814,0.887,0.5,0.027257377,"E3"
"ISCU",2.53e-06,1.044497468,0.723,0.15,0.028054011,"E3"
"SLAMF7",2.69e-06,1.844663638,0.759,0.25,0.029879136,"E3"
"WIPF1",2.7e-06,1.067462968,0.922,0.55,0.029897211,"E3"
"SGPL1",3.04e-06,1.216865119,0.83,0.45,0.033689057,"E3"
"UNC93B1",3.13e-06,0.986173845,0.837,0.3,0.034745023,"E3"
"LY96",3.15e-06,1.129504469,0.851,0.55,0.034897498,"E3"
"GNB4",3.47e-06,1.073585716,0.894,0.5,0.038508616,"E3"
"SCARB1",3.6e-06,0.749191896,0.461,0,0.039962042,"E3"
"TRIM14",3.84e-06,1.071673278,0.652,0.1,0.042598418,"E3"
"SLC35F6",4.3e-06,0.877522161,0.596,0.05,0.0476883,"E3"
"MS4A7",4.31e-06,1.288838312,0.979,0.9,0.047750639,"E3"
"SNX3",4.5e-06,0.807696981,0.957,0.55,0.049908695,"E3"
