gene,type
B3GNT2,Carbohydrate
B3GNT3,Carbohydrate
B4GALT1,Carbohydrate
B4GALT2,Carbohydrate
B4GALT3,Carbohydrate
B4GALT4,Carbohydrate
B4GALT5,Carbohydrate
B4GALT6,Carbohydrate
B4GALT7,Carbohydrate
GLB1,Carbohydrate
GUSB,Carbohydrate
CALM1,Carbohydrate
CD44,Carbohydrate
SLC25A12,Carbohydrate
SLC25A13,Carbohydrate
CRYL1,Carbohydrate
DERA,Carbohydrate
ALDH1A1,Carbohydrate
SORD,Carbohydrate
SLC25A10,Carbohydrate
SLC26A2,Carbohydrate
ENO1,Carbohydrate
ENO3,Carbohydrate
ENO2,Carbohydrate
EXT1,Carbohydrate
EXT2,Carbohydrate
FBP1,Carbohydrate
FBP2,Carbohydrate
PFKFB1,Carbohydrate
PFKFB2,Carbohydrate
PFKFB3,Carbohydrate
PFKFB4,Carbohydrate
FGF21,Carbohydrate
FMOD,Carbohydrate
GAPDH,Carbohydrate
GAPDHS,Carbohydrate
G6PD,Carbohydrate
GPI,Carbohydrate
G6PC,Carbohydrate
GALNS,Carbohydrate
GALK1,Carbohydrate
GALT,Carbohydrate
GALE,Carbohydrate
GCKR,Carbohydrate
AGL,Carbohydrate
GNS,Carbohydrate
GLCE,Carbohydrate
GBE1,Carbohydrate
GYG1,Carbohydrate
GNPDA1,Carbohydrate
GPC1,Carbohydrate
GPC3,Carbohydrate
GPC4,Carbohydrate
GPC5,Carbohydrate
GPC6,Carbohydrate
SLC2A1,Carbohydrate
SLC2A2,Carbohydrate
SLC2A3,Carbohydrate
SLC2A4,Carbohydrate
SLC2A5,Carbohydrate
GYG2,Carbohydrate
GYS1,Carbohydrate
GYS2,Carbohydrate
HAS1,Carbohydrate
HAS2,Carbohydrate
HAS3,Carbohydrate
HEXA,Carbohydrate
HEXB,Carbohydrate
HMMR,Carbohydrate
NDST1,Carbohydrate
NDST2,Carbohydrate
HK1,Carbohydrate
HK2,Carbohydrate
HK3,Carbohydrate
HYAL2,Carbohydrate
IDS,Carbohydrate
IDUA,Carbohydrate
NUP160,Carbohydrate
PFKM,Carbohydrate
PFKL,Carbohydrate
PFKP,Carbohydrate
PRKACA,Carbohydrate
PRKACB,Carbohydrate
PRKACG,Carbohydrate
KERA,Carbohydrate
KHK,Carbohydrate
PHKA1,Carbohydrate
PHKA2,Carbohydrate
PHKB,Carbohydrate
PHKG1,Carbohydrate
PHKG2,Carbohydrate
PRPS1,Carbohydrate
PRPS2,Carbohydrate
PRPS1L1,Carbohydrate
PKLR,Carbohydrate
LALBA,Carbohydrate
LCT,Carbohydrate
LUM,Carbohydrate
GAA,Carbohydrate
MAN2B1,Carbohydrate
MAN2B2,Carbohydrate
MAN2C1,Carbohydrate
SLC25A11,Carbohydrate
MANBA,Carbohydrate
MDH1,Carbohydrate
MDH2,Carbohydrate
MGAM,Carbohydrate
OGN,Carbohydrate
ABCC5,Carbohydrate
NUP107,Carbohydrate
NUP153,Carbohydrate
NUP214,Carbohydrate
SLC9A1,Carbohydrate
NUP37,Carbohydrate
NUP43,Carbohydrate
NUP50,Carbohydrate
NUP62,Carbohydrate
NUP88,Carbohydrate
OMD,Carbohydrate
PPP2CA,Carbohydrate
PPP2CB,Carbohydrate
HSPG2,Carbohydrate
ACAN,Carbohydrate
NCAN,Carbohydrate
VCAN,Carbohydrate
PGK1,Carbohydrate
PGK2,Carbohydrate
PGM1,Carbohydrate
BGN,Carbohydrate
DCN,Carbohydrate
PYGL,Carbohydrate
PYGM,Carbohydrate
PYGB,Carbohydrate
PGAM1,Carbohydrate
PGAM2,Carbohydrate
BPGM,Carbohydrate
PCK1,Carbohydrate
PCK2,Carbohydrate
PAPSS1,Carbohydrate
PRELP,Carbohydrate
PC,Carbohydrate
RAE1,Carbohydrate
RANBP2,Carbohydrate
RPIA,Carbohydrate
SLC26A1,Carbohydrate
SDC1,Carbohydrate
SDC2,Carbohydrate
SDC3,Carbohydrate
SDC4,Carbohydrate
ST3GAL1,Carbohydrate
ST3GAL2,Carbohydrate
ST3GAL4,Carbohydrate
ST3GAL3,Carbohydrate
SLC5A1,Carbohydrate
SLC5A2,Carbohydrate
SLC5A3,Carbohydrate
SLC5A4,Carbohydrate
SGSH,Carbohydrate
SI,Carbohydrate
TALDO1,Carbohydrate
TKT,Carbohydrate
TPR,Carbohydrate
TREH,Carbohydrate
SLC25A1,Carbohydrate
NUP155,Carbohydrate
RPS27A,Carbohydrate
UBA52,Carbohydrate
CHIA,Carbohydrate
CHIT1,Carbohydrate
NUP133,Carbohydrate
NUP54,Carbohydrate
NUPL1,Carbohydrate
RPE,Carbohydrate
TPI1,Carbohydrate
AGRN,Carbohydrate
DCXR,Carbohydrate
EPM2A,Carbohydrate
KIAA1199,Carbohydrate
NUP205,Carbohydrate
NHLRC1,Carbohydrate
NUP93,Carbohydrate
NUP98,Carbohydrate
BCAN,Carbohydrate
SLC45A3,Carbohydrate
STAB2,Carbohydrate
SEH1L,Carbohydrate
ST3GAL6,Carbohydrate
NUPL2,Carbohydrate
NUP85,Carbohydrate
NUP35,Carbohydrate
ADPGK,Carbohydrate
B3GNT4,Carbohydrate
B3GNT7,Carbohydrate
B3GALT6,Carbohydrate
CSGALNACT1,Carbohydrate
CSGALNACT2,Carbohydrate
CHPF2,Carbohydrate
CHSY1,Carbohydrate
CHPF,Carbohydrate
CHSY3,Carbohydrate
CHST1,Carbohydrate
CHST2,Carbohydrate
CHST3,Carbohydrate
CHST5,Carbohydrate
CHST6,Carbohydrate
CHST7,Carbohydrate
CHST9,Carbohydrate
CHST11,Carbohydrate
CHST12,Carbohydrate
CHST13,Carbohydrate
CHST14,Carbohydrate
CSPG4,Carbohydrate
CSPG5,Carbohydrate
DSEL,Carbohydrate
DSE,Carbohydrate
GLB1L,Carbohydrate
GLYCTK,Carbohydrate
GPC2,Carbohydrate
SLC2A14,Carbohydrate
HS6ST1,Carbohydrate
HS6ST2,Carbohydrate
HS6ST3,Carbohydrate
HGSNAT,Carbohydrate
HPSE2,Carbohydrate
HPSE,Carbohydrate
HS2ST1,Carbohydrate
HYAL1,Carbohydrate
HYAL3,Carbohydrate
LYVE1,Carbohydrate
NDST3,Carbohydrate
NDST4,Carbohydrate
NUP188,Carbohydrate
HS3ST1,Carbohydrate
HS3ST2,Carbohydrate
HS3ST3A1,Carbohydrate
HS3ST3B1,Carbohydrate
HS3ST4,Carbohydrate
HS3ST5,Carbohydrate
HS3ST6,Carbohydrate
PGM2,Carbohydrate
NUP210,Carbohydrate
PPP1R3C,Carbohydrate
RSC1A1,Carbohydrate
SLC35B2,Carbohydrate
SLC35B3,Carbohydrate
SLC35D2,Carbohydrate
SLC5A10,Carbohydrate
CHST15,Carbohydrate
UST,Carbohydrate
XYLB,Carbohydrate
XYLT1,Carbohydrate
XYLT2,Carbohydrate
G6PC2,Carbohydrate
G6PC3,Carbohydrate
SLC5A9,Carbohydrate
GNPDA2,Carbohydrate
POM121,Carbohydrate
POM121C,Carbohydrate
SLC37A4,Carbohydrate
PAPSS2,Carbohydrate
GCK,Carbohydrate
PPP2R5D,Carbohydrate
UGP2,Carbohydrate
UBC,Carbohydrate
UBB,Carbohydrate
PPP2R1A,ENERGY
PPP2R1B,ENERGY
ADRA2A,ENERGY
PRKAA2,ENERGY
PRKAB2,ENERGY
PRKAG2,ENERGY
ACLY,ENERGY
CHRM3,ENERGY
SLC25A4,ENERGY
SLC25A5,ENERGY
SLC25A6,ENERGY
ADIPOQ,ENERGY
ARL2,ENERGY
CACNA1A,ENERGY
CACNA1E,ENERGY
CACNB2,ENERGY
CACNB3,ENERGY
ACACB,ENERGY
ADCY1,ENERGY
ADCY2,ENERGY
ADCY3,ENERGY
ADCY4,ENERGY
ADCY5,ENERGY
ADCY6,ENERGY
ADCY7,ENERGY
ADCY8,ENERGY
ADCY9,ENERGY
PFKFB1,ENERGY
FASN,ENERGY
GNA11,ENERGY
GNA14,ENERGY
GNA15,ENERGY
GNAS,ENERGY
GNB1,ENERGY
GNB2,ENERGY
GNB3,ENERGY
GNB4,ENERGY
GNGT1,ENERGY
GNG3,ENERGY
GNG4,ENERGY
GNG5,ENERGY
GNG7,ENERGY
GNG8,ENERGY
GNG10,ENERGY
GNG11,ENERGY
GNG12,ENERGY
GNG13,ENERGY
GNGT2,ENERGY
GNAI1,ENERGY
GNAI2,ENERGY
GNAQ,ENERGY
GCGR,ENERGY
GCG,ENERGY
FFAR1,ENERGY
SLC2A1,ENERGY
SLC2A2,ENERGY
INS,ENERGY
ITPR3,ENERGY
KCNJ11,ENERGY
PRKAR1A,ENERGY
PRKAR1B,ENERGY
PRKAR2A,ENERGY
PRKAR2B,ENERGY
PRKACA,ENERGY
PRKACB,ENERGY
PRKACG,ENERGY
PRKCA,ENERGY
PKLR,ENERGY
MARCKS,ENERGY
MLX,ENERGY
PPP2CA,ENERGY
PPP2CB,ENERGY
