"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"H3F3B",3.52461869405296e-233,0.455086651957636,0.997,0.987,8.16548412851249e-229,"0"
"BX284668.6",1.48510000042407e-232,0.302881086180625,0.221,0.062,3.44053117098244e-228,"0"
"CREM",2.00794675821144e-230,-0.761009559885152,0.355,0.571,4.65181025474844e-226,"0"
"G0S2",6.7784906311739e-229,-1.85825718615074,0.009,0.138,1.57037292452406e-224,"0"
"IGHM",1.84830798797387e-228,-1.32517507117242,0.018,0.151,4.28197511573906e-224,"0"
"S100A4",4.16565215442395e-228,0.488525791410712,0.791,0.59,9.65056634615397e-224,"0"
"IRF8",6.55552636151321e-226,-0.389352398259538,0.026,0.178,1.51871879217177e-221,"0"
"BCL2A1",2.20259492860607e-224,-1.15490810153323,0.083,0.251,5.10275167110169e-220,"0"
"GPR174",2.29533802411613e-222,0.363508127425474,0.368,0.165,5.31760960046983e-218,"0"
"CSKMT",6.32133448721616e-222,0.423643312430355,0.401,0.194,1.46446356065337e-217,"0"
"TNFRSF13C",9.29542415949437e-222,-0.420582956337426,0.02,0.161,2.15347091503006e-217,"0"
"AC243960.1",9.61212397450423e-221,0.46697633755099,0.368,0.178,2.22684076117339e-216,"0"
"TLE4",5.53455705308602e-220,0.511241274434263,0.593,0.38,1.28219083248844e-215,"0"
"NFE2L2",6.42210963078931e-220,-0.558364476496022,0.235,0.446,1.48781013816496e-215,"0"
"SRGN",2.95004432270134e-219,-1.12383908799672,0.891,0.814,6.83436768240219e-215,"0"
"NKTR",7.50169663655017e-218,0.461854332781975,0.689,0.485,1.73791805978958e-213,"0"
"APOBEC3G",1.40471554987904e-216,0.402335477259225,0.426,0.21,3.25430451440477e-212,"0"
"PLAUR",4.60183030234697e-216,-0.886764657402612,0.034,0.176,1.06610602614472e-211,"0"
"SERPINA1",4.44355433331192e-215,-0.549083933743962,0.004,0.119,1.02943823239837e-210,"0"
"EMB",6.49071224343717e-215,0.418516411830694,0.585,0.364,1.50370330543709e-210,"0"
"ANXA1",2.86124188234885e-214,0.270498892926236,0.617,0.38,6.62863906883759e-210,"0"
"BTG2",1.6924408576074e-209,0.533680698820762,0.773,0.733,3.92087773481906e-205,"0"
"F2R",5.70037745743341e-209,0.254267598269663,0.226,0.071,1.3206064455636e-204,"0"
"TNFAIP2",1.76207486003391e-207,-0.452432021995375,0.004,0.118,4.08219882824056e-203,"0"
"PARP8",1.24152044953115e-205,0.386324763808675,0.509,0.29,2.87623042542881e-201,"0"
"CMTM6",2.9075451541474e-205,-0.532736268441066,0.196,0.393,6.73590985861328e-201,"0"
"RBM47",5.04030315009853e-205,-0.290950014663194,0,0.104,1.16768703078333e-200,"0"
"LITAF",2.58039047340239e-204,-1.07255427910427,0.308,0.484,5.97799060973131e-200,"0"
"POLR2J3.1",6.15823659837652e-203,0.429003271254001,0.594,0.381,1.42667867274589e-198,"0"
"SPI1",2.85280066553788e-202,-0.264896684703908,0.001,0.107,6.6090833018516e-198,"0"
"GIMAP4",1.33287873714432e-201,0.383629886959535,0.477,0.257,3.08788017034223e-197,"0"
"MALAT1",2.74597587694323e-201,0.325846253425391,1,0.996,6.36160231411439e-197,"0"
"PTPRC",1.89089959311116e-200,0.300246940084653,0.984,0.892,4.38064708736063e-196,"0"
"DDX5",4.84615671169379e-200,0.347519534129567,0.995,0.984,1.1227091253981e-195,"0"
"S100A9",2.84459742773371e-199,-2.22537748638475,0.021,0.138,6.59007886083069e-195,"0"
"TSPYL2",3.13837460196089e-199,0.560421139331967,0.582,0.403,7.27067244036279e-195,"0"
"GK",1.35149173543492e-198,-0.564169738471921,0.018,0.144,3.13100090348207e-194,"0"
"HLA-DQA1",8.32107360905376e-197,-0.821438720998113,0.182,0.273,1.92774312300949e-192,"0"
"ADAM28",5.3648311989312e-196,-0.276727590145316,0.014,0.139,1.24287044385639e-191,"0"
"CD74",8.73381958894115e-196,-1.4181714106657,0.686,0.743,2.02336398417e-191,"0"
"GPR183",1.69846063254642e-195,-0.833602621380156,0.196,0.36,3.9348237474203e-191,"0"
"PTPN7",2.22423951247493e-195,0.416793120726143,0.48,0.274,5.15289567855066e-191,"0"
"CD84",2.71248701047576e-195,0.376954055307189,0.388,0.189,6.28401865716919e-191,"0"
"CST3",2.84493516961461e-195,-0.735601327068541,0.016,0.136,6.59086130744616e-191,"0"
"ATP1B3",3.4825834741798e-194,-0.655041076277669,0.258,0.455,8.06810113463235e-190,"0"
"CXCL1",5.81325667117613e-194,-0.688343006684311,0.001,0.1,1.34675717301137e-189,"0"
"GRN",4.49088701279088e-193,-0.458999439369844,0.029,0.165,1.04040379425326e-188,"0"
"HSPA6",1.38082652067065e-192,0.939924655709915,0.283,0.119,3.1989608004377e-188,"0"
"SNHG12",1.81105536287992e-192,0.465182455466661,0.491,0.31,4.19567195918391e-188,"0"
"HIF1A",2.11621365534662e-192,-0.550217404637535,0.214,0.403,4.9026321753415e-188,"0"
"ARAP2",1.43665746624038e-190,0.393865127756806,0.479,0.272,3.32830435203908e-186,"0"
"TRA2B",3.47679866093549e-190,0.425303186961358,0.772,0.677,8.05469945778925e-186,"0"
"BACH1",1.31384173804619e-189,-0.348307380986953,0.073,0.238,3.04377715453161e-185,"0"
"SOD2",1.16615254052318e-188,-1.64695490208606,0.296,0.454,2.70162559063006e-184,"0"
