,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,TRDMT1,DNMT3A,DNMT3B,NOP2,TET1,TET2,TET3,ALYREF,XPD
GSE76427_GSM2011324,5.695409778,2.695051916,3.461765308,4.584465082,4.048368189,2.195112272,4.467512291,1.858715616,3.360265123,2.555770031,4.241873563,1.132965451,1.915084357,2.714651371,7.091949768,2.936638742
GSE76427_GSM2011325,4.463737459,3.249472623,3.947926382,3.61469179,3.806979433,1.442264552,4.420206357,1.619922188,2.77938819,1.888035891,5.581951557,1.7252836,1.883281971,2.374055844,7.186611955,4.567476779
GSE76427_GSM2011326,5.225632152,2.607325714,3.328831611,3.651142324,4.738814441,1.08586888,4.078209987,1.486240161,3.282311144,2.231012024,6.01566564,1.08076348,2.392288914,2.765991292,5.078915099,4.948533082
GSE76427_GSM2011327,5.295639616,2.761769837,3.646067313,4.188306221,4.240146609,2.694511422,5.513039369,1.227863881,3.611938306,2.11468028,3.019202887,2.133700674,2.018737585,3.252409343,7.201683515,2.625974969
GSE76427_GSM2011328,5.220637533,3.124229464,3.897064521,4.43420949,4.133871502,2.398280363,5.17665288,1.517079855,3.627416577,2.494637942,3.03911736,2.019444003,2.161985709,2.210418058,6.942304343,2.420400911
GSE76427_GSM2011329,5.685319897,2.347403875,3.897617887,5.116350964,4.838730065,1.739891065,5.453409984,1.343802367,3.752761462,2.393589524,3.954508254,1.569895725,1.465979483,2.937670371,5.851088701,2.781699942
GSE76427_GSM2011330,5.745541943,2.35158723,3.595156571,4.656986435,4.249379588,0.81134268,4.94239055,1.54433909,3.150942977,2.288435193,6.828017335,0.925954324,1.429797693,2.683059672,5.640529475,4.886435645
GSE76427_GSM2011331,5.578948879,2.170271612,3.49543203,3.67313474,5.628052272,1.426883458,1.539986729,1.186557353,2.543067822,1.997928718,6.150284769,0.439602261,2.524321119,3.552069684,4.977695041,4.723573928
GSE76427_GSM2011332,4.732856487,2.303738178,2.918252664,3.808448282,4.493512221,1.846480719,-1.03881572,1.044551966,3.162660432,1.77622983,4.735835603,1.718299249,1.766033871,4.064953025,5.046235736,5.429193113
GSE76427_GSM2011333,5.661013367,2.822995824,2.852463504,5.044651705,6.157558268,0.843848682,3.966712565,1.131741595,3.409254099,2.373556406,6.811547121,1.073416867,2.204480984,2.440057099,4.879219115,5.072253107
GSE76427_GSM2011334,5.173272384,3.888476646,3.724165875,5.513977789,5.270509793,1.567159638,3.45371264,1.826992385,3.970568352,2.619076344,5.388290399,1.3380537,2.271231929,2.561817519,5.263187498,5.291573736
GSE76427_GSM2011335,5.722630904,2.762587485,1.955112182,4.279961505,4.872922048,1.891318922,4.077699024,0.893038672,4.548188882,2.507768816,6.220649402,2.00269754,2.14354642,3.108253197,5.164490553,4.515642863
GSE76427_GSM2011336,5.888929141,2.696156665,3.278406184,4.266270884,4.641619863,0.357207089,5.066662829,1.460842772,2.874843874,2.415862268,5.200278838,1.009433199,1.85060974,2.617947726,5.90399452,4.483353692
GSE76427_GSM2011337,5.365651611,2.599412826,3.614946404,3.727125748,4.966797063,0.853455548,2.617621608,1.721852482,3.83960101,1.217278608,5.751764302,1.814471116,1.828007086,2.449029863,5.50355777,4.941034557
GSE76427_GSM2011338,5.726466495,2.423422356,3.432976358,4.971301245,5.834781371,1.138983986,3.341479847,1.517305445,3.318427157,2.541971268,5.834017003,1.376955096,2.298852859,2.831992991,4.532576898,4.27846685
GSE76427_GSM2011339,5.731309901,2.430741262,3.433526204,4.616709323,4.745850601,2.401038537,3.988243392,1.155581589,3.309806069,2.145880542,5.866197733,1.31660375,2.403330979,3.088209894,6.259391034,4.974107965
GSE76427_GSM2011340,4.427220333,3.248058203,3.801988881,4.644204813,3.926419913,1.410461229,1.366645384,1.249459373,2.357748386,1.8072583,5.434511816,1.183852965,2.510973402,2.278434946,5.672678435,4.865394672
GSE76427_GSM2011341,5.754560873,2.988128404,3.410658773,3.970444219,4.455946846,2.800355393,4.534391464,1.112547825,4.728596575,1.973015646,2.802121025,1.728513074,2.331080324,3.300994311,6.681001632,2.327536835
GSE76427_GSM2011342,5.722630904,3.299181089,4.010534912,2.933554544,4.974714299,1.529569604,4.560743049,1.051159496,2.599506094,2.040076988,5.979867228,1.392102625,1.808690918,2.362497654,5.532469233,5.258397646
GSE76427_GSM2011343,5.263894492,3.377592483,3.660518805,4.297583213,4.297896606,1.261275824,3.807123628,1.445858603,3.588312347,2.081117028,6.131624821,1.591859852,2.277554946,2.461889437,5.565557737,4.760988428
