,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-D7-6818-01A-11R-1884-13,3.383542702,3.054635616,3.602880847,4.148819433,5.816434079,5.275473463,4.40546214,4.279039611,4.626510394,4.480742709,2.74248164,5.718551781,6.016690639,5.907327185,0.382690712,3.549522553,0.324192963,7.878730858,6.99588584,6.83373893,4.121882416,5.579375681,5.597924718,6.034274709,3.875756477,Tumor
TCGA-VQ-A8DU-01A-11R-A36D-31,3.971348576,3.613917027,3.808785572,4.523409524,5.017820381,5.842115973,4.653584017,4.086500158,6.337822394,5.381976862,3.271433296,6.539728641,6.412914105,6.26833595,5.926189946,7.32435789,2.739769271,8.322112478,6.866286121,7.275715739,5.073299261,6.34812971,5.539674056,5.357722033,3.53577304,Tumor
TCGA-B7-A5TK-01A-12R-A36D-31,3.291707277,3.692065586,3.59424517,3.713626537,4.986781346,5.758634441,4.26740171,4.444160816,5.924625594,4.939201655,3.689158239,6.532424659,6.312515248,5.788925531,0.426913942,5.839232264,2.27193776,8.458916747,7.3153561,6.522180071,5.015860142,5.462499982,5.83001898,5.433999105,3.66532682,Tumor
TCGA-VQ-A924-01A-11R-A414-31,4.183472222,4.081436781,4.540235001,4.456039267,6.044999487,5.797979727,4.705965188,5.248317748,6.287638696,5.403752744,4.686563276,6.603191023,6.685743964,6.156882773,0.163495641,6.277674423,3.560559673,9.384707135,7.806092011,7.19420232,5.125105112,7.54136073,6.086040024,6.299487567,4.010825482,Tumor
TCGA-BR-8373-01A-11R-2343-13,3.677432695,3.881912225,3.869557571,4.99356885,6.905088506,6.111694065,5.189273067,5.244936137,6.504239331,5.286321921,2.987060866,7.97116645,6.892035166,7.053587087,6.808714537,7.885042895,4.964937809,7.993042535,6.828526229,6.470475369,5.588565337,6.694316095,5.721670137,6.243155434,4.346480402,Tumor
TCGA-IN-8663-01A-11R-2402-13,3.430272291,3.54911219,3.690004678,4.67970472,6.428155626,5.806189733,5.942629213,4.32747468,5.372650925,5.829950251,4.22102482,7.537723935,6.862285241,7.13600472,0.592368912,6.985930716,2.493304294,9.01501132,7.420101702,7.466292671,6.795168211,5.988234541,5.502897982,6.217507813,3.968153436,Tumor
TCGA-BR-A4J4-01A-12R-A251-31,3.537371866,5.108097858,4.276662663,4.525027115,4.686736942,5.525781997,4.603304095,5.233480481,6.095796597,5.78644921,3.829386849,7.609638997,6.769471587,6.342165362,0.188551707,7.690632897,4.65801092,8.629465547,7.689560555,6.709724868,4.292231801,6.396002063,5.785756898,6.753471225,4.478982156,Tumor
TCGA-VQ-A91U-01A-11R-A414-31,4.404482865,3.221435236,3.831309778,4.500470654,5.898854808,5.318910791,5.419782242,5.210914427,6.719167009,5.436834447,3.617037476,6.599683331,6.65802292,6.411393873,0.091012944,6.004482516,0.341594943,8.644344459,7.499094853,7.12593724,4.901300879,7.280193577,5.300903448,5.797028866,3.451279832,Tumor
TCGA-BR-6705-01A-12R-1884-13,4.161736957,3.031062717,3.85366337,4.053233873,5.920487679,5.060557599,4.245224866,4.512279991,5.916649089,4.897172162,3.140608532,6.518916377,6.080189479,5.305358449,0.798715059,4.233950165,2.615079833,7.863357441,7.153375706,6.800361538,3.565247426,5.609923944,5.472633008,6.219995207,4.456221989,Tumor
TCGA-F1-6875-01A-11R-2055-13,4.423568087,3.229100893,4.375748437,4.664332078,6.380251691,5.422749022,5.107963997,4.90861839,5.741056771,5.420426483,2.934445922,7.480446094,6.070241831,6.395846161,1.608651247,5.433823763,3.732336502,8.54554294,7.504375685,7.268831095,5.46222479,6.618808778,5.983335447,6.520163245,3.721033548,Tumor
TCGA-D7-5578-01A-01R-1602-13,3.930275601,2.985499155,3.383844167,3.898353486,4.815208561,4.85766705,5.026368957,4.389139309,4.567494948,4.774747006,2.509001307,6.939369994,6.318865793,6.45412834,2.133160383,4.155822078,1.732961614,7.803259977,7.353605591,7.014956663,3.425567395,5.735645646,4.890693768,5.468303223,3.183845516,Tumor
TCGA-D7-A6EX-01A-11R-A31P-31,4.368922666,3.769548548,3.924295653,3.420057764,5.792870185,5.42917472,4.467868961,4.670532756,6.413103894,5.475476317,3.769263957,6.525095729,6.6066304,6.025605137,0.076791618,4.344939961,0.093384297,8.579524123,7.518188114,7.36604589,3.782219828,6.422799134,6.138921545,5.985119095,3.565842072,Tumor
TCGA-HU-8244-01A-11R-2343-13,3.880195729,3.400507053,3.68693075,4.32025793,5.790878881,5.216855644,4.679888219,4.329376225,5.3814945,5.147025378,4.000194751,6.545904293,6.218619805,6.097440351,0.36248616,5.790963829,0.353794589,8.28453079,7.192955562,6.940872652,3.838859012,6.958158277,5.504130619,5.851807983,3.728767313,Tumor
TCGA-BR-7957-01A-11R-2203-13,4.399650317,3.626797722,4.572787221,4.312959171,5.538748283,5.829799592,4.853223209,4.811066629,6.131378349,5.459556865,4.223309014,7.010165533,6.878301101,6.826098449,1.280002514,5.057907703,1.895268105,8.63166527,7.614072268,7.033970241,4.456123401,6.430130188,6.050375228,6.729247588,4.972620058,Tumor
TCGA-HU-A4HD-01A-11R-A251-31,5.220322989,3.669681047,4.15855516,3.768503006,6.070662813,5.190908347,5.564825054,4.375436379,6.464489389,5.574498164,3.336801951,7.068570859,7.362241052,6.939803681,5.306946818,7.397885086,4.598297905,8.883384991,7.651659505,6.822805339,4.008295048,6.982749493,5.566163055,5.710313462,3.542194892,Tumor
TCGA-HU-8610-01A-22R-2402-13,4.073323257,4.131813345,3.791786988,4.251785735,6.048353034,5.829314284,5.204933778,4.329398472,5.581511839,5.613262301,3.235441096,7.195876109,6.675807465,6.270675634,0.093070334,3.788633514,0.39179466,8.054767095,7.101772971,6.358399427,4.609699418,7.005487571,5.713664201,6.029935077,3.296632576,Tumor
TCGA-VQ-A91Y-01A-11R-A414-31,4.4228896,3.856908027,4.207159608,4.175381682,5.410164014,5.396044718,4.936926214,4.885833499,6.609541491,5.371275174,4.076624935,6.602826373,6.336880162,6.105067887,0.298983179,5.444240012,3.401572446,8.190652883,7.10146624,6.738081448,5.023524613,6.344728563,5.468942317,7.128590623,4.622640495,Tumor
TCGA-D7-A4Z0-01A-22R-A251-31,4.048757568,3.640382618,3.963423259,4.064443149,5.671418499,5.526431005,4.700436389,4.543629506,6.587442555,5.384679812,4.469492697,6.198168607,6.419732024,6.567363974,0.124253033,5.153574324,0.463239396,8.277174863,7.09771297,6.380900668,4.120818053,5.998673689,5.377949695,6.123708429,4.068386199,Tumor
TCGA-HU-A4G9-01A-11R-A24K-31,4.10524896,3.949057691,3.984197409,4.928643201,6.566372233,5.305425213,5.577456624,4.827791593,4.824841666,5.245064341,4.793769498,6.387202428,6.835825568,6.940185548,0.011505786,6.014880808,0.387923406,8.462350122,7.419976184,7.098322699,4.140223226,7.496704408,5.65837117,6.238355772,3.583009935,Tumor
TCGA-BR-8591-01A-11R-2402-13,4.051509578,3.71856,4.255064837,4.513362514,6.43245922,5.584037677,4.56653511,4.602886784,5.082074935,5.328650157,4.247580466,6.411658597,6.594206048,6.38418298,0.030144436,5.671329326,1.775523845,8.56483275,7.455728324,6.694862089,4.657648579,6.718346555,5.838221161,6.746502148,4.095550621,Tumor
TCGA-BR-8297-01A-12R-2343-13,3.866424362,3.889240862,4.453803324,4.3480107,5.540456033,5.530099778,5.051275078,4.993843255,5.579003301,5.034286158,3.55684751,6.409914115,6.190361813,6.434191684,0.832773865,3.838565585,1.780423914,8.071212417,7.03761943,6.603945705,4.449723132,6.121136035,5.659674576,6.632759841,4.766973541,Tumor
TCGA-D7-8570-01A-11R-2343-13,3.669116364,3.501432776,4.173744685,3.75607857,5.853820787,4.792053112,4.269740851,4.094018974,5.478547021,5.098609046,2.304671073,7.03496729,5.711541986,4.888157286,0.201236752,6.095533743,3.554741094,8.134753328,6.911898865,6.040810258,3.660819117,5.472991327,5.828825766,6.168354599,3.797378276,Tumor
TCGA-VQ-A91A-01A-11R-A414-31,4.269110966,3.119793402,4.161545909,4.012094848,5.794653696,5.668169911,5.264190728,4.85438221,6.467652009,5.272763388,3.864675463,6.35999056,6.261542474,5.894727077,0.098336896,4.837901373,2.052260765,8.668021236,6.99032638,6.924386163,4.607146229,5.829274701,5.717627624,6.425327745,4.231766469,Tumor
TCGA-HF-A5NB-01A-11R-A31P-31,3.860402689,3.960669241,4.086082286,4.552139718,5.238152867,5.61199709,4.166422217,4.913924353,5.112387376,5.412679246,4.188688137,6.473512079,6.855871378,6.612572189,0.834172784,4.23229313,1.709227544,8.518740875,7.578427794,7.155827136,3.965657784,5.741572421,5.815368693,6.08706805,3.150236821,Tumor
TCGA-BR-6710-01A-11R-1884-13,2.781335581,2.695621069,2.718189095,3.028079331,4.818488104,4.655206979,3.79741148,3.603847072,3.985858327,4.276924646,2.639684353,5.231445465,5.281940039,5.048107555,0.109955529,4.091509437,0.154469795,6.477085041,6.02966181,5.305636066,3.119561195,4.599890235,4.042582181,5.393475311,2.945445522,Tumor
TCGA-VQ-AA6D-01A-11R-A414-31,4.899512575,3.945951295,3.724870697,4.871422801,5.81525878,5.990103737,4.605228812,5.18575279,6.510496765,5.943820784,3.268222825,7.251724772,6.801489796,6.102963769,4.153036775,5.980245619,4.009592617,8.812388479,7.662910436,6.882963341,5.109199229,6.636812811,5.389803226,5.891224855,2.98239621,Tumor
TCGA-VQ-A8PO-01A-11R-A414-31,4.508686616,3.716444432,4.117941842,4.161304845,5.886623548,5.61475018,4.218936121,4.935852428,6.318232953,5.420994672,4.620768788,6.342225643,6.447653577,6.007903666,0.311784187,5.529173462,1.050673731,9.04274829,7.809881289,7.039591359,4.405718766,7.117602586,6.052230241,6.184374137,3.711837368,Tumor
TCGA-VQ-A8DV-01A-12R-A36D-31,3.476940251,3.394299835,3.375656286,3.28390459,5.092669203,5.534440783,4.488176275,4.631028012,6.650529643,5.487167638,2.599719121,7.246145824,5.971422156,6.222731157,6.059127459,6.391094908,2.394499051,8.287462599,7.052959237,6.691278712,4.264728577,6.205059133,6.009989586,5.417123324,4.152064136,Tumor
TCGA-CD-A48A-01A-12R-A36D-31,4.412388625,3.246456734,4.045622947,3.667371026,5.577285911,5.827236495,4.5519749,4.75750122,6.643778138,5.449014235,3.463999036,7.021806162,6.513789486,4.941356131,1.271080798,7.129360302,1.063628569,8.397779008,7.121776968,6.939084323,4.205228277,5.634041989,5.49684611,5.124082466,3.173447126,Tumor
