"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"DCAF7",6.0599080895746e-10,0.355388037877373,0.517,0.316,9.32256260500156e-06,"0"
"FOSB",6.10283745919431e-10,0.3650537127946,0.979,0.924,9.38860514722453e-06,"0"
"DDX60",6.1287844801093e-10,0.278963631241788,0.367,0.18,9.42852204420014e-06,"0"
"TXNDC17",6.15907756931919e-10,0.343961675817393,0.524,0.323,9.47512493264064e-06,"0"
"MYD88",6.60049753170458e-10,0.321255352958227,0.549,0.34,1.01542054027743e-05,"0"
"PSMB9",7.71898693357875e-10,0.363454591259083,0.762,0.628,1.18748894986175e-05,"0"
"MANBA",7.92869159082723e-10,0.375406438770635,0.507,0.318,1.21974991433286e-05,"0"
"CMC2",8.30534398548915e-10,0.30552242669363,0.413,0.224,1.27769411872765e-05,"0"
"COX7B",8.81121761971878e-10,0.295590469564879,0.79,0.752,1.35551771861754e-05,"0"
"THOC2",9.0098469902673e-10,0.322144533288925,0.542,0.34,1.38607486098272e-05,"0"
"GPCPD1",9.44687223147313e-10,0.366845201528704,0.773,0.678,1.45330682408983e-05,"0"
"SNRPG",9.91558534330758e-10,0.336625614997913,0.692,0.56,1.52541364921444e-05,"0"
"C15orf48",1.03290294783601e-09,0.287490441306762,0.92,0.791,1.58901789495092e-05,"0"
"FPR1",1.07498352094005e-09,0.345749914878975,0.759,0.578,1.65375464861417e-05,"0"
"AGAP3",1.1385225648107e-09,0.337545660588057,0.406,0.222,1.75150311370478e-05,"0"
"TUBB",1.1725112395895e-09,0.307246301216799,0.815,0.686,1.80379129098449e-05,"0"
"CORO1C",1.23711091088695e-09,0.361362113913582,0.664,0.523,1.90317142530848e-05,"0"
"ZNHIT1",1.28844624922105e-09,0.323779754373773,0.57,0.37,1.98214570980166e-05,"0"
"NDUFA4",1.45063598862164e-09,0.302427091715141,0.843,0.769,2.23165840489553e-05,"0"
"DHX36",1.62076182567567e-09,0.302267252577924,0.622,0.518,2.49337999261945e-05,"0"
"BAG3",1.64660120545051e-09,-0.801520505867577,0.171,0.306,2.53313129446506e-05,"0"
"PELI1",1.87019396237114e-09,-0.563104954815551,0.171,0.326,2.87710639171176e-05,"0"
"XPO1",1.87954075087329e-09,0.317616775894879,0.528,0.329,2.89148549114347e-05,"0"
"LTA4H",2.01996555900221e-09,0.46860400992255,0.542,0.452,3.107515015969e-05,"0"
"MRPL52",2.02657622139839e-09,0.303518988661418,0.49,0.289,3.11768485899928e-05,"0"
"A2M",2.05453728031684e-09,-0.605048978426118,0.234,0.34,3.16070015203942e-05,"0"
"UBE2K",2.21937843407303e-09,0.327801910037882,0.594,0.435,3.41429178297796e-05,"0"
"PSMA4",2.30796211118726e-09,0.332522064189411,0.766,0.696,3.55056891185048e-05,"0"
"CTNNBL1",2.31147199494157e-09,0.339003201108395,0.472,0.282,3.55596851701811e-05,"0"
"DPYSL2",2.51693338815257e-09,0.348965587661347,0.717,0.625,3.87205032433391e-05,"0"
"DDX3Y",2.87688262554855e-09,-0.46973612289049,0.028,0.143,4.42579623114389e-05,"0"
"PAPOLA",2.88880831859504e-09,0.263119182977399,0.727,0.696,4.44414271732661e-05,"0"
"VRK2",3.02217784852068e-09,0.295738326945157,0.413,0.226,4.64931840216422e-05,"0"
"LILRB3",3.19257891535808e-09,0.343904091903427,0.636,0.452,4.91146340338688e-05,"0"
"PA2G4",3.24956221326201e-09,0.341812768910979,0.556,0.376,4.99912650888228e-05,"0"
"PRKCB",3.66836841839534e-09,0.308720999214453,0.545,0.341,5.6434179748594e-05,"0"
"NGLY1",3.99604867963377e-09,0.325406996228694,0.374,0.197,6.1475212887486e-05,"0"
"TCERG1",4.08871827186557e-09,0.315910052138346,0.364,0.203,6.290084189438e-05,"0"
"MT-ND3",4.91110903520446e-09,0.254511071573321,1,0.995,7.55525013975854e-05,"0"
"GPR34",4.96277685508126e-09,-0.396912645753853,0.073,0.19,7.63473591385701e-05,"0"
"DSE",5.47902164921687e-09,0.357275484191272,0.874,0.801,8.42892690515523e-05,"0"
"C1orf54",5.54419441611486e-09,-0.435863612318285,0.098,0.247,8.5291886897511e-05,"0"
"ALOX5AP",5.85110632799712e-09,0.57938679726462,0.556,0.444,9.00134197499076e-05,"0"
"SKAP2",6.53029061689499e-09,0.308510124708548,0.78,0.717,0.000100461990850313,"0"
"KLF4",6.62906029111759e-09,0.373765214421561,0.832,0.76,0.000101981463518553,"0"
"KCTD12",6.79234237176179e-09,0.313893659590578,0.818,0.783,0.000104493395047183,"0"
"NARS",6.95634319934822e-09,0.333986198971868,0.647,0.479,0.000107016383778773,"0"
"SNRPF",7.1620024191384e-09,0.336549083184579,0.549,0.365,0.000110180245216025,"0"
"SLC43A2",7.17059874347719e-09,0.347209894128034,0.717,0.641,0.000110312491069653,"0"
"PDE4DIP",7.24252999335928e-09,-0.449373594225583,0.318,0.499,0.000111419081417839,"0"
"ZFYVE16",7.34581626523056e-09,0.391032980589925,0.815,0.737,0.000113008037424307,"0"
"ANKRD44",7.38788985443561e-09,0.34717005170902,0.486,0.33,0.000113655297520637,"0"
"SLC11A1",7.47251628414287e-09,0.4037175131502,0.668,0.639,0.000114957190515254,"0"
"GRB2",7.9359837744924e-09,0.313569159813094,0.927,0.868,0.000122087174386791,"0"
"SET",8.32369707304436e-09,0.306202643429708,0.846,0.78,0.000128051755771714,"0"
"NDUFS6",8.77653725494703e-09,0.27729516139376,0.587,0.387,0.000135018249130105,"0"
"ID2",8.95108824001585e-09,-0.771146887965613,0.608,0.757,0.000137703541484404,"0"
"PFDN2",9.01602676704118e-09,0.267316545847423,0.524,0.326,0.000138702555784162,"0"
"CHD9",9.14476691184546e-09,0.363584897644353,0.57,0.397,0.000140683094171831,"0"
"PDIA4",9.31092601526197e-09,0.347026383875789,0.486,0.305,0.00014323928581879,"0"
"SMCO4",9.94238486156311e-09,0.312036822928848,0.486,0.296,0.000152953648710287,"0"
"SDC3",1.10114698184613e-08,-0.423006831848877,0.168,0.24,0.000169400451687208,"0"
"LRRK2",1.22095935413059e-08,0.302501392892865,0.451,0.262,0.000187832387039451,"0"
"RGS2",1.22374315194597e-08,0.431285408838717,0.916,0.855,0.000188260646495368,"0"
"MCEMP1",1.30894951087185e-08,0.468153425374529,0.364,0.192,0.000201368792752526,"0"
"IL18BP",1.33000265718605e-08,0.302999943250959,0.339,0.172,0.000204607608781502,"0"
"MOB3B",1.33638194024299e-08,0.313005466054878,0.378,0.218,0.000205588997686982,"0"
"LGMN",1.34799503767327e-08,-0.959956485505037,0.469,0.591,0.000207375556595656,"0"
"IER2",1.43659034730893e-08,-0.834344844856543,0.654,0.75,0.000221005059030007,"0"
"HMGA1",1.44645751301107e-08,0.344806766023775,0.559,0.371,0.000222523023801623,"0"
"GLUL",1.48474389379682e-08,0.356660689089426,0.941,0.875,0.000228413000621703,"0"
"HNRNPU",1.53116492354459e-08,0.394588427378391,0.99,0.955,0.000235554411838099,"0"
"AKR1B1",1.53655429603019e-08,-0.321764249352702,0.238,0.297,0.000236383512901284,"0"
"MTRNR2L12",1.63166982440766e-08,-0.714913376130817,0.853,0.904,0.000251016085786874,"0"
"GTF3C6",1.64151867169502e-08,0.253731358761218,0.458,0.27,0.000252531232453561,"0"
"DYNLT1",1.78019756442845e-08,0.347895602877745,0.538,0.379,0.000273865593311673,"0"
"ENO1",1.85306936285979e-08,0.293224808968151,0.937,0.929,0.00028507619078235,"0"
"HNRNPM",1.90380498630752e-08,0.274444814104034,0.804,0.743,0.000292881359093548,"0"
"UBB",1.97599000191912e-08,-0.462485620883542,0.871,0.938,0.000303986301895237,"0"
"SON",2.00545559882589e-08,0.252856999583822,0.913,0.913,0.000308519289323376,"0"
"PCNX1",2.09879080017298e-08,0.284922020258027,0.535,0.34,0.000322877976698611,"0"
